Maxes: size of table (n, m): 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	0.09983	0.09983	0.121963	0.156526	0.199022	0.247012	0.299027	0.35417	0.412014	0.472681	0.537036	0.606956	0.68567	0.778142	0.8915	1.03548	1.22293	1.47025	1.79799	2.2313	2.80052	3.54167	4.49705	5.71577	7.2543	9.17705	11.5569	14.4757	18.0251	22.3068	27.433	33.5275	40.7258	49.1756	59.0378	70.4865	83.7099	98.9108	116.307	136.132	158.634	184.081	212.756	244.959	281.009	321.245	366.023	415.72	470.733	531.479	598.398	671.949	752.615	840.901	937.335	1042.47	1156.88	1281.16	1415.95	1561.89	1719.65	1889.94	2073.5	2271.07	2483.44	2711.42	2955.85	3217.61	3497.59	3796.72	4115.96	4456.29	4818.74	5204.37	5614.24	6049.49	6511.25	7000.71	7519.09	8067.63	8647.62	9260.36	9907.23	10589.6	11308.9	12066.6	12864.1	13703.1	14585.1	15511.6	16484.4	17505.1	18575.5	19697.3	20872.2	22102.3	23389.2	24735	26141.6	27611.1	29145.4	30746.6	
11	0.10977	0.10977	0.131881	0.166409	0.208865	0.256818	0.30881	0.363957	0.421851	0.482637	0.547209	0.61748	0.696724	0.789961	0.904378	1.04979	1.23912	1.48889	1.81974	2.25696	2.83102	3.57811	4.54071	5.76812	7.31703	9.25206	11.6464	14.5821	18.1512	22.4555	27.6078	33.7322	40.9645	49.453	59.3588	70.8567	84.1353	99.3978	116.863	136.764	159.351	184.892	213.67	245.986	282.161	322.533	367.461	417.32	472.51	533.449	600.576	674.353	755.263	843.812	940.53	1045.97	1160.71	1285.34	1420.51	1566.85	1725.04	1895.8	2079.85	2277.94	2490.87	2719.44	2964.51	3226.94	3507.62	3807.5	4127.53	4468.71	4832.05	5218.61	5629.47	6065.76	6528.62	7019.24	7538.83	8088.64	8669.97	9284.12	9932.46	10616.4	11337.3	12096.7	12896	13736.8	14620.7	15549.3	16524.2	17547.2	18619.8	19744	20921.5	22154.1	23443.8	24792.4	26202	27674.5	29212	30816.5	
12	0.11971	0.11971	0.141799	0.176285	0.218675	0.266524	0.318354	0.373205	0.430406	0.489446	0.549871	0.611188	0.672755	0.733663	0.792595	0.847663	0.896232	0.934717	0.958368	0.961029	0.934885	0.870195	0.755004	0.574848	0.312437	-0.0526647	-0.544374	-1.19044	-2.02278	-3.07788	-4.39712	-6.02721	-8.02052	-10.4355	-13.3371	-16.7972	-20.8948	-25.7168	-31.3583	-37.9226	-45.5223	-54.2794	-64.3257	-75.8031	-88.8645	-103.674	-120.407	-139.251	-160.407	-184.087	-210.519	-239.941	-272.611	-308.796	-348.781	-392.868	-441.373	-494.629	-552.986	-616.812	-686.494	-762.435	-845.058	-934.807	-1032.14	-1137.55	-1251.53	-1374.61	-1507.34	-1650.28	-1804.03	-1969.19	-2146.42	-2336.36	-2539.71	-2757.17	-2989.49	-3237.42	-3501.76	-3783.32	-4082.94	-4401.5	-4739.89	-5099.03	-5479.89	-5883.45	-6310.72	-6762.76	-7240.63	-7745.45	-8278.35	-8840.51	-9433.12	-10057.4	-10714.7	-11406.3	-12133.5	-12897.6	-13700.2	-14542.6	-15426.3	-16352.9	
13	0.12963	0.12963	0.151697	0.186148	0.228495	0.276295	0.328069	0.382853	0.43997	0.498899	0.559172	0.620275	0.681544	0.742038	0.800403	0.854706	0.902259	0.939414	0.961349	0.961824	0.932931	0.864821	0.74542	0.560129	0.291509	-0.0810377	-0.581611	-1.23815	-2.08281	-3.15228	-4.48823	-6.13762	-8.15312	-10.5935	-13.5241	-17.017	-21.1518	-26.0158	-31.7043	-38.3213	-45.9799	-54.8025	-64.9215	-76.4795	-89.6298	-104.537	-121.378	-140.34	-161.626	-185.447	-212.033	-241.624	-274.475	-310.858	-351.058	-395.377	-444.132	-497.657	-556.305	-620.444	-690.461	-766.762	-849.771	-939.932	-1037.71	-1143.59	-1258.07	-1381.69	-1514.98	-1658.53	-1812.92	-1978.77	-2156.72	-2347.43	-2551.59	-2769.91	-3003.14	-3252.03	-3517.38	-3800.01	-4100.75	-4420.49	-4760.13	-5120.58	-5502.82	-5907.83	-6336.62	-6790.25	-7269.79	-7776.36	-8311.1	-8875.18	-9469.81	-10096.2	-10755.7	-11449.6	-12179.1	-12945.8	-13751	-14596.1	-15482.6	-16412.2	
14	0.13954	0.13954	0.161573	0.195966	0.23823	0.285927	0.337584	0.392245	0.449257	0.508154	0.568597	0.630341	0.693218	0.757139	0.822104	0.888221	0.955741	1.0251	1.09696	1.17228	1.2524	1.33908	1.43462	1.54196	1.66477	1.80759	1.97592	2.1764	2.41692	2.70676	3.0568	3.47963	3.98976	4.60379	5.34059	6.2215	7.27056	8.51466	9.98383	11.7114	13.7342	16.0929	18.8323	22.0012	25.653	29.8461	34.6436	40.114	46.3315	53.376	61.3334	70.2962	80.3634	91.6411	104.243	118.289	133.908	151.237	170.422	191.617	214.983	240.696	268.935	299.894	333.776	370.793	411.17	455.144	502.96	554.879	611.173	672.125	738.034	809.211	885.979	968.679	1057.66	1153.3	1255.97	1366.07	1484.03	1610.26	1745.22	1889.37	2043.19	2207.19	2381.87	2567.78	2765.47	2975.51	3198.5	3435.04	3685.78	3951.37	4232.48	4529.81	4844.07	5176.02	5526.4	5896.01	6285.66	6696.17	
15	0.14943	0.14943	0.17143	0.205763	0.247943	0.295524	0.34703	0.401499	0.45827	0.51687	0.576956	0.638277	0.700662	0.764024	0.828362	0.893793	0.960576	1.02916	1.10023	1.17477	1.25414	1.34015	1.43514	1.5421	1.66478	1.80777	1.97667	2.17821	2.42036	2.71255	3.06577	3.49276	4.00818	4.62881	5.37369	6.2644	7.32516	8.58314	10.0686	11.8151	13.8599	16.2439	19.0122	22.214	25.9031	30.1383	34.9832	40.5066	46.7833	53.8937	61.9242	70.9679	81.1244	92.5004	105.21	119.374	135.123	152.593	171.932	193.293	216.842	242.751	271.203	302.392	336.521	373.805	414.469	458.751	506.898	559.171	615.844	677.202	743.544	815.182	892.443	975.666	1065.21	1161.43	1264.73	1375.51	1494.17	1621.15	1756.9	1901.88	2056.59	2221.52	2397.19	2584.13	2782.91	2994.1	3218.3	3456.12	3708.2	3975.19	4257.77	4556.64	4872.53	5206.17	5558.33	5929.8	6321.39	6733.94	
16	0.15931	0.15931	0.181277	0.215558	0.257676	0.305196	0.356648	0.411078	0.467834	0.526448	0.586573	0.647947	0.710362	0.773652	0.837676	0.902309	0.967428	1.03291	1.09861	1.16434	1.2299	1.29499	1.35925	1.42221	1.48324	1.54159	1.59629	1.64615	1.68971	1.72518	1.75044	1.76294	1.75968	1.73713	1.69117	1.61706	1.50931	1.36167	1.16699	0.917215	0.603224	0.214794	-0.25951	-0.832429	-1.51811	-2.33219	-3.29194	-4.41635	-5.72622	-7.24432	-8.99549	-11.0067	-13.3074	-15.9294	-18.9069	-22.2771	-26.08	-30.3585	-35.1586	-40.5298	-46.5249	-53.2002	-60.6161	-68.8365	-77.9297	-87.968	-99.0283	-111.192	-124.545	-139.179	-155.189	-172.678	-191.753	-212.525	-235.113	-259.643	-286.244	-315.054	-346.217	-379.884	-416.211	-455.365	-497.517	-542.847	-591.544	-643.803	-699.829	-759.835	-824.041	-892.679	-965.988	-1044.22	-1127.63	-1216.48	-1311.06	-1411.66	-1518.57	-1632.11	-1752.59	-1880.35	-2015.74	-2159.1	
17	0.16918	0.16918	0.191124	0.225378	0.267477	0.315003	0.366504	0.421047	0.478004	0.536934	0.597522	0.659539	0.722813	0.787218	0.852654	0.919039	0.986297	1.05435	1.1231	1.19242	1.26214	1.33203	1.40176	1.47092	1.53893	1.60509	1.66846	1.7279	1.78199	1.82898	1.86678	1.89288	1.90428	1.89748	1.86838	1.81224	1.72357	1.59612	1.42272	1.19529	0.904685	0.540636	0.0916594	-0.455048	-1.1137	-1.90003	-2.8314	-3.92689	-5.20745	-6.69597	-8.41743	-10.399	-12.6703	-15.2632	-18.2124	-21.5551	-25.3316	-29.5851	-34.3619	-39.7118	-45.6878	-52.3469	-59.7494	-67.9599	-77.047	-87.0835	-98.1467	-110.318	-123.686	-138.34	-154.377	-171.901	-191.017	-211.841	-234.49	-259.09	-285.773	-314.677	-345.945	-379.731	-416.191	-455.493	-497.809	-543.321	-592.216	-644.694	-700.958	-761.223	-825.711	-894.654	-968.293	-1046.88	-1130.67	-1219.94	-1314.96	-1416.04	-1523.46	-1637.53	-1758.6	-1886.97	-2023.02	-2167.08	
18	0.17902	0.17902	0.20092	0.235097	0.27709	0.324475	0.375796	0.430108	0.486769	0.545324	0.605439	0.666864	0.729408	0.792925	0.857297	0.922436	0.988272	1.05475	1.12183	1.1895	1.25773	1.32654	1.39595	1.46599	1.53674	1.60827	1.68072	1.75425	1.82906	1.90543	1.98366	2.06418	2.14746	2.23409	2.32478	2.42037	2.52181	2.63028	2.74708	2.87375	3.01207	3.16404	3.33196	3.51844	3.7264	3.95914	4.22037	4.5142	4.84522	5.21853	5.63976	6.11511	6.65142	7.25617	7.93756	8.70456	9.56692	10.5352	11.621	12.8368	14.1959	15.7131	17.4038	19.2851	21.3749	23.6926	26.2592	29.0966	32.2288	35.6808	39.4798	43.6543	48.2347	53.2534	58.7445	64.7444	71.2915	78.4262	86.1914	94.6322	103.796	113.734	124.497	136.142	148.727	162.313	176.964	192.746	209.732	227.994	247.609	268.658	291.225	315.398	341.268	368.931	398.486	430.037	463.693	499.565	537.77	578.429	
19	0.18885	0.18885	0.210706	0.244799	0.286662	0.333853	0.384891	0.438802	0.494906	0.552699	0.611795	0.671883	0.732701	0.794024	0.855649	0.917391	0.979076	1.04054	1.10162	1.16216	1.22202	1.28104	1.33911	1.39608	1.45186	1.50635	1.55949	1.61123	1.66159	1.71061	1.7584	1.80514	1.85106	1.89653	1.94198	1.98801	2.03532	2.08478	2.13747	2.19461	2.25771	2.32847	2.4089	2.5013	2.6083	2.73289	2.87846	3.0488	3.2482	3.48142	3.75377	4.07114	4.44001	4.86757	5.36167	5.93094	6.58481	7.33356	8.18837	9.16137	10.2657	11.5156	12.9264	14.5147	16.2981	18.2959	20.5283	23.0175	25.7867	28.8609	32.2668	36.0328	40.189	44.7673	49.8019	55.3287	61.3858	68.0134	75.2543	83.1533	91.7578	101.118	111.286	122.317	134.269	147.204	161.185	176.279	192.557	210.092	228.961	249.244	271.026	294.395	319.441	346.261	374.954	405.623	438.377	473.328	510.593	550.293	
